数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
6,9.78751E+12,,,d design 奈良,58,中信出版社,长冈贤明,Sep-18,,,,★日本人气旅行生活书，兼具实用与美感的深度旅行指南，李宗盛、蔡康永、青山周平都在看！日本不只有东京，每一个地方都有它的精彩。 ★千年奈良完整保留了盛唐的文化遗存，她宁静质朴，传统祭典延续千年，古寺和神社唐风洋溢，春日山原始森林幽静神秘，吉野山的四月樱花烂漫 没有哪一块土地像奈良一样温柔治愈，被静谧的群山和森林围绕，鹿群、寺庙、神社、古迹、文化遗产散落其间，平静而淡然。 ★融入当地人生活，探寻网上找不到的奈良秘境：石灯燃起时如星空般的东大寺；与空灵幽玄的千年古寺相呼应的现代艺术森林，体现奈良形态与色彩的清幽餐厅，吉野山深处暖心暖胃的老字号；悬崖峭壁上仙境中的咖啡馆，传奇的金鱼之乡大和郡山市 扎实采访制作，细腻呈现奈良的风物灵魂。 ★传统而有美感的东西，才是日本设计的,,,
2,9.78751E+12,,,d design 岐阜,118.67,中信出版集团，中信出版社,长冈贤明（著）赵婉宁（著）,Apr-19,,,,国内首部专门介绍日本岐阜的生活旅行书！,,,
2,9.78752E+12,,,d design 山形,59.67,中信出版社,长冈贤明,May-20,,,,首部专门介绍日本山形的生活旅行书！    山形，既是日本的温泉之都，也是水果王国。在漫天星空的照耀下，遍布山形县各处的温泉总会带来别样的浪漫；孕育着山形县灵魂的很上川，目睹着山形县的日月更替，也为往来的人们刷新着每日不同的风景……拥有150年以上历史的品牌“文四郎麸”，以传达麸的魅力为宗旨，传承着这家小小店铺长达一个多世纪的经营理念，把山形地方美食文化融入进了日常；住在置身于绝美大自然怀抱中的变若水之汤温泉旅馆，不仅可以体验山形特有的夏季滑雪项目，还可以体验到“汤殿山朝拜”等平日难得一见的传统祭祀活动。乍看之下，山形似乎很悠闲，事实上它有着不认输的强有力的县民和自古至今流传下来的顽强精神。山形专享的美学魅力与坚韧不拔的地方精神，铸成了此处别具一格的地方活力。\n    李宗盛、蔡康永、深泽直人诚意推荐d设计系列：一个“不设计”的设计师的造物心得，一份对抗当今消费社会的惜物情怀，一个驻地采风、与当地人一起捕捉地方灵魂的编辑团队。\n    d设计之旅中文版第三弹：深度发掘山形地方文化特色，体会存在于山形的特有美学理念，重塑地方活力，向世人展示山形那尚未失去的美好——与“长效设计之父”一起出发，踏上日本中部的文艺设计之旅！,,,
5,9.78751E+12,,,D&DEPARTMENT开店术,62,民主与建设出版社,长冈贤明,Aug-18,,,,让客人先学习、理解， 才购买，然后爱用一辈子。 1 ，日本 Long-life Design （长效设计）教父长冈贤明的开店哲学，融合设计、经营、生活方式的深度思考。 长冈贤明曾任职于日本设计中心原设计研究所、与广为人知的设计师原研哉共事；因目睹流行设计、大量制造给社会带来的严重负担，转而从事旧货收集二次贩卖，从中思考何谓 正确的设计 以及一名设计师应有的社会责任。 他开设的二手商店D DEPARTMENT PROJECT，掀起了日本二手商店经营风潮。本书完全公开长冈贤明累积十多年的开店心得，包括理念、做法和经验。 2 ，重新思考设计：以 不生产 的方式反思消费文化，发掘真正正确的设计，让好设计成为日常。 ◎ 能历经时间证明、长久留存的设计才是 正确的 。 ◎ 长效设计指的就是不被流行左右、能长远地一直持续销售的设计。 ◎,,,
1,9.78757E+12,,,J.J.P.奥德谈荷兰建筑,38.22,重庆大学出版社,J.J.P.奥德J.J.P.Oud,Sep-19,,,,《J.J.P.奥德谈荷兰建筑》是“包豪斯经典译丛”系列的一本，由荷兰建筑师J.J.P.奥德撰写。,,,
1,9.78751E+12,,,阿达想当科学家,39.8,新星出版社,（美）安德里亚・贝蒂 著 ，（英）大卫・罗伯茨 绘,Jun-17,,,,★《纽约时报》畅销书作家写给孩子的梦想三部曲 《乔伊想当建筑师》《罗西想当发明家》《阿达想当科学家》，鼓励孩子坚持自己真正热爱的事情，不怕失败，勇于尝试和探索；启发家长尊重和支持孩子独有的成长步伐。 ★《纽约时报》畅销书排行榜榜首，美国版首印25万册，紧急加印10万册！ ★高居《华尔街日报》《出版人周刊》《今日美国》畅销书排行榜 ★阿达的无穷追问，会鼓励小读者找到他们自己的成长路径。 《书单》 ★阿达的故事提醒我们，孩子的天赋各种各样，我们要让孩子自由地成为孩子，要让他们自由地提问、探索、寻找问题的答案，也许这会带来混乱和不便，但你的所做是在支持孩子成为一个聪明而富有创造力的人。 美国读者L.Bakeron,,,
3,9.7871E+12,,,巴黎，19世纪的首都,26,商务印书馆,瓦尔特·本雅明（著）,Feb-13,,,,　　拱廊研究计划是本雅明对巴黎19世纪城市景观的研究计划。在19世纪与20世纪现代性与资本主义是一个硬币的两面。“浪漫主义的反资本主义者”本雅明接受列宁所说“最后阶段”，相信资本主义的末世不远，萌生了通过研究巴黎拱廊这样一个大都市异化景观来研究19世纪下半叶“资本主义盛世”的计划，即《巴黎拱廊计划》。在这项研究完成之前本雅明自杀身亡，遗留下来的只有两篇提纲（1935年提纲与1939年提纲）和两篇关于泼德莱尔的论文。这些所有遗留的文字即是《汉译世界学术名著丛书：巴黎，19世纪的首都》。虽然是一部未完成作品，但是没有人会怀疑其重要性。,,,
0,9.78711E+12,,,巴黎的忧郁,28,生活・读书・新知三联书店,波德莱尔,May-15,,,,《巴黎的忧郁》早已被奉为20世纪文学的经典之作，用波德莱尔的话说：“这还是恶之花，但更自由、细腻、辛辣。”书中插入五十幅法国画家勒布莱东专为此书所做的版画插图，文图配合可谓相得益彰。亚丁先生的翻译更拥有一种诗学之美。三者珠联璧合带来了这个版本的经典性。,,,
2,9.78754E+12,,,中国游记,45,湖南文艺出版社,许知远（著）博集天卷,Aug-19,,,,《游荡集》是许知远的*散文游记，收集的是许知远旅途中的意念断片：他在旧金山与横滨做了闲荡，与姜文在一个午后喝了威士忌，听一个香港人在特拉维夫唱了《我为祖国献石油》……它们曾散落在某个航班的餐桌上，某个县城空挡的酒吧里，或者许知远临时租借的公寓中……,,,
2,9.78754E+12,,,卡尔维诺经典：巴黎隐士,28,译林出版社,，伊塔洛・卡尔维诺 著，倪安宇 译,Apr-12,,,,"""在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝 在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者 在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好 *全新“卡尔维诺经典”系列，译林独家版权出版，弥补多年市场空缺 *权威版本，全面修订2006年单行本译本，并增补卡尔维诺各作品自序、后记、注释等重要资料 *知名设计师全新装帧，精装双封设计，书脊烫金，封面采用原创线条图，赋予每部作品文学个性 “卡尔维诺经典”系列包含 ?通向蜘蛛巢的小径:卡尔维诺处女作，顽童皮恩的眼睛来描述的战争、性、英雄主义、历史…… ?分成两半的子爵:卡尔维诺代表作，《我们的祖先》之一，王小波盛誉的完美作品 ?烟云 /阿根廷蚂蚁 ?意大利童话 （上、中、下）:因为卡尔维诺，《意大利童话》站在与《格林童话》同样的高度。",,,
3,9.78753E+12,,书架2 抽屉1,把自己作为方法,48,上海文艺出版社,项飙（著）吴琦（著）,Jul-20,,,,两代北大学人，跨越北京、牛津、温州、杭州、上海五地，历时三年完成了这场谈话。从项飙教授的个人经验切入，追索一系列超越自我的问题，其中涉及对中国社会半个世纪以来的变化、知识共同体、全球化与民粹主义、人类学方法论等题目的思考。这本书提供了一份对话实录，也给出了一种审视问题、思维操练的方法——在自我泛滥的潮流中，如何给自己定位，在全球化的年代，如何创造性地建设身边的小世界，在思想受困的社会，如何回答宏大的命题。,,,
1,9.78756E+12,,,班门：方,58.1,北京联合出版有限公司,班门,Jul-17,,,,在新一年中，《班门》各板块的结构一仍其旧，分“门?内”“门”“门?外”。以“门”为界，门内，向大师致敬、取经、学艺；门，是作品，是被大师加持的“手艺”，是“匠心营造”；门外，是后生的操练、游历、体验。不论是营造，是设计，都是以人的尺度进行的，不论多么宏大的作品，*终是要走向人的生活中去，而我们的文章，将更加关照生活、关注日常。,,,
1,9.78756E+12,,,班门：圆,58.1,北京联合出版有限公司,班门,Oct-17,,,,在新一年中，《班门》各板块的结构一仍其旧，分“门?内”“门”“门?外”。以“门”为界，门内，向大师致敬、取经、学艺；门，是作品，是被大师加持的“手艺”，是“匠心营造”；门外，是后生的操练、游历、体验。不论是营造，是设计，都是以人的尺度进行的，不论多么宏大的作品，*终是要走向人的生活中去，而我们的文章，将更加关照生活、关注日常。在本期中，我们将诉说历史上人类对月球的测绘与幻想，也讲述一个“90 后”年轻人从一枚小邮戳开始的收藏故事；我们思考圆形城市的人类乌托邦精神，也具体呈现一座现代圆形剧院的建筑过程。你能在一把龚扇的编织过程中看到中国传统文化的传承，也能在草间弥生标志性的圆点中看到现代性的视觉面目。你会看到，这本书的内里流淌着深刻的血液，肌肤上又纹饰着象征未来活力的焰火；它既能切入宏大题材的小局部，也可以从琐碎的日常生活观照出宏大的精神力量。,,,
2,9.78756E+12,,,班门·第四辑·地铁metro,60.97,北京联合出版有限公司,班门,Nov-20,,,,《班门》的结构，一直以“门”为界，“门内”向大师致敬、学艺；“门”是作品，是“手艺”本身，是“匠心营造”；“门外”是后生的操练与游历。这个结构让我们有了扎实的组稿方法，让《班门》安稳地走到今天。*辑，“木、砼、铁、石”，以材料构建 “班门”；第二辑，“方、圆、线、角”，以形式勾勒 “班门”；第三辑，“光、声、气、性”，以物性点化 “班门”。第四辑，我们开始新一轮的营造。将日常世界按照经纬两个向度拆分。在经度上，以材料、形式、物性为刻度；将它们汇聚起来，在 “纬度” 上有机生长，形成日常世界的一个个基本单元：家、办公室、商场、车站、广场、公园……,,,
1,9.78754E+12,,,包豪斯剧场,58,岭南美术出版社,奥斯卡·施莱默（著）拉兹洛·莫霍利（著）纳吉（著）法尔卡斯·莫尔纳（著）,Aug-20,,,,作为包豪斯学院实践成果的其中一本重要著作，本书由格罗皮乌斯编辑，收录了奥斯卡·施莱默、拉兹洛·莫霍利-纳吉、法尔卡斯·莫尔纳关于剧场艺术的理念与实践。本书代表了包豪斯人的艺术标准，他们继承瓦格纳的“总体剧场”理念，开始了雄心勃勃的现代性项目。,,,
1,9.78757E+12,,,包豪斯舞台,39.67,华东理工大学出版社,奥斯卡·施莱默,Apr-20,,,,1925-1930年的“包豪斯丛书”是现代主义时期很为集中的一次出版行动，《包豪斯舞台》是这套丛书中的一册，由包豪斯的核心教师奥斯卡·施莱默、莫霍利-纳吉等人合著。舞台表演”及“表演空间”是包豪斯的重要概念之一，包豪斯认为传统戏剧是宣传的手段，将观众与表演者隔开；不认同达达主义、超现实主义将舞台视为表达讽刺和嘲笑的场所。施莱默等人创造出一种全新的舞台形式，由抽象的运动、色彩、光线等构成。包豪斯的舞台概念放在当时看是极具革命性的，而放在100年后的现在看也仍然极富前瞻性和实验性。《包豪斯舞台》一书中收录了施莱默等人对舞台的理解和阐释，还涉及其对空间的研究。,,,
2,9.78756E+12,,,从包豪斯到我们的豪斯,29.8,重庆大学出版社,著者：汤姆 沃尔夫 译者：关肇邺,,,,,本书于20世纪80年代初出版，一经问世便轰动美国建筑界，成为人们茶余饭后议论的焦点。“新新闻主义之父”汤姆 沃尔夫以他一贯尖刻而幽默的笔触，无情地嘲弄了背离自然与传统的现代建筑及建筑师们。沃尔特 格罗皮厄斯、密斯 范德罗、勒 柯布西埃、弗兰克 劳埃德 赖特、菲利浦 约翰逊……所有这些建筑大师，都逃不过沃尔夫的调侃。**次正是推出中文版本，中国工程院院士关肇邺教授心血译作。本书对于今天我们探讨和思索现代建筑的得失和未来，仍然非常具有参考价值。,,,
1,9.78756E+12,,,鲍立克在上海,58,同济大学出版社,侯丽  著,Nov-16,,,,本书聚焦于德国人理查德·鲍立克从1933年到1946年在上海的16年移民生涯，从其具有传奇色彩的个人与职业经历入手，描绘二战前后近代中国的社会经济发展，以上海为代表的大都市现代化转型的曲折过程，在东西文化激烈冲突下的“上海人”对未来发展愿景的探索，尤其关注他作为包豪斯学派的重要成员，对现代城市规划在中国的引入、传播与实践所作出的贡献。,,,
1,9.78751E+12,,,北京的城墙和城门,128,新星出版社,喜龙仁,Aug-18,,,,无论从历史还是地理意义上来看，这些城门至今仍可被视为北京的地标。它们与毗连的城墙一起见证了这座非凡都市的大半部历史，与周围环绕的街道、错落的景物相互映衬，形成一道道独具一格而又瑰丽动人的风景。 虽然这一点史料少有记载，但仅凭我能提供的零碎片断，你也能感受到，即便如今经过多处修葺，年代久远、满布岁月痕迹的北京的城墙和城门也依然是连接历史不可或缺的一环。 这些令人叹为观止的城墙与墙门，这些北京城丰富辉煌历史的无声记录，它们还能屹立多久呢？ 《北京的城墙和城门》是关于北京城的建筑历史以及北京城墙和城门的详实记录,,,
2,9.78711E+12,,架上+（0，3）,北京跑酷,189,生活.读书.新知三联书店,一石文化+设计及文化工作室,Feb-09,,,,近代以来，北京都市空间的拓展以天安门广场为中心，旧城为格局，呈圆形扩展；而谈到保护，也每将旧城如生日宴席上的蛋糕般供奉或移出。,,,
1,9.78753E+12,,,北京西郊故事集,42,北京十月文艺出版社,徐则臣（著）新经典,Dec-19,,,,《北京西郊故事集》是70后首位茅盾文学奖得主徐则臣的全新短篇小说集，收入了《屋顶上》《轮子是圆的》《六耳猕猴》《成人礼》《看不见的城市》《狗叫了一天》《摩洛哥王子》《如果大雪封门》《兄弟》等九篇作品。“花街”与“北京”是徐则臣小说创作的两个重要谱系，本书描写了一群自花街来到北京的年轻人——行健、米箩、木鱼、宝来等的生活境遇。他们在北京西郊这片他乡生存艰辛，却始终心怀热情，面对未来即使心中彷徨，也绝*不屈服于此刻。不进城的时候，他们便在夕阳渐落之时爬到屋顶上，遥望那一片浩瀚的楼房加霓虹灯的热带雨林。入夜的北京前所*未有地空旷，在柔和的路灯下像一个巨大而又空旷的梦境。王城堪隐，万人如海，在这个城市，你的孤独无人响应；但你以为只是你时，所有人出现在你的生活里：所有人都是你，你也是所有人。,,,
2,9.7873E+12,,,北京：公共空间和城市生活（1400-1900）「上+下」,149,中国人民大学出版社,韩书瑞（著）Susan（著）Naquin（著）,Mar-19,,,,本书作者韩书瑞教授从七十年代开始致力于清代民间宗教的研究，先后出版了乾隆朝王伦清水教和嘉庆朝京畿八卦教起义两部著作。此后她将注意力转到清代北京民间宗教活动上，2000年推出这部篇幅宏大、内容详尽的以清代北京宗教寺庙和民间日常宗教活动为主题的著作。在作者眼中，民间宗教活动是清代平民日常生活的重要组成部分，是研究平民生活和国家\/社会关系的理想场所。在本书中，韩书瑞强调民间宗教有很强的思想功能，充当了国家正统理念以外的民间信仰的源泉。除去思想功能，寺庙的经济功能也不能忽视，以寺庙为中心的集市庙会和进香活动，促进了地方经济发展和商品往来。寺庙也是平民的日常交际的场所，方便了男女交往、社会上层和下层人群的沟通以及跨行业社会往来。从明清至民国，北京民间宗教活动的兴衰和寺庙的存废也是国家\/社会关系演变的窗口。从总体角度上看，国家实力逐渐强大，国家推行的世俗化运动*终削弱了寺庙在人民日常生活中的作用。但不可否认，在很长一段时间里，寺庙充当了超乎于国家控制的一个民间场域。韩书瑞的这部著作，是近年来少有的一部以清代民间宗教为题的著作。由于作者引用文献资料广泛，这部书也成了了解清代平民生活的一部百科全书。,三联,,
1,9.78757E+12,,,被误解的包豪斯,58,重庆大学出版社,张云亭,Apr-18,,,,本书填补了中国设计类图书市场的一个空白。在此之前，还没有一位建筑记者带有如此强烈主观观点地去写一段西方的建筑史 用自己既有的知识体系，全新的视角和敏锐的洞察力。,,,
2,9.78756E+12,,,本地,168,陕西师范大学出版社,宋群著,Sep-18,,,,《市井西仓》――寻找失落的城市集市，作者带领一个城市观察小组，历时三年，跟踪采访与拍摄。大量的影像以及口述、文献纪录下百年集市西仓的市景百态，烟火味道。,,,
1,9.7873E+12,,,本土东京,69,清华大学出版社,[美]乔丹？桑德（Jordan Sand） 著，黄秋源 译,Dec-18,,,,编辑推荐： 在《本土东京》一书中，乔丹 桑德为我们展现了在20世纪60年代日本群众运动失败之后，被重新发现的历史是如何作为一种新的日常政治的一部分而被动员起来的。早期的积极分子们仅关注作为国家政治中心的东京和作为表达国民身份场所的公共广场。而1960年后的人们则开始关注更多地方性的场所和物件以及它们所体现出的城市本土性。通过这种转向，他们也在资本主义市场和国家权力的场域之外发现了一种新的公共财产。 现有的研究或者把后工业社会中的历史相对主义视作大众失落感的真实反映，又或者把它看成商业主义对于人们怀旧情绪的狡诈利用。而来自东京的经验则为我们提示了除此之外其他的可能性。在本书中，我们跟着作者走出了公共广场来到居民社区；我们发现了路上的古怪物件并将它们据为己有；我们还一起参观了博物馆里有关生活,,,
1,9.78757E+12,,,比特城市,38,重庆大学出版社,威廉.J米歇尔,Apr-17,,,,&middot;这是一部脍炙人口、启迪想象的经典之作。英国首相温斯顿&middot;丘吉尔曾说过：我们构建建筑，建筑建构我们。凭借清新的智慧和明晰的写作，米歇尔成功地为&ldquo;互联网 &rdquo;时代的我们更新了那条格言。他对21世纪人类生活的畅想，为我们这一代&ldquo;数字原住民&rdquo;留下了怎样的启发？,,,
